# FieldAlongZ
#x y z t Bx By Bz Ex Ey Ez
0 0 1720 0 0 0 5.04887 0 0 0 
0 0 1730 0 0 0 5.06121 0 0 0 
0 0 1740 0 0 0 5.07326 0 0 0 
0 0 1750 0 0 0 5.08482 0 0 0 
0 0 1760 0 0 0 5.09625 0 0 0 
0 0 1770 0 0 0 5.10705 0 0 0 
0 0 1780 0 0 0 5.11789 0 0 0 
0 0 1790 0 0 0 5.12796 0 0 0 
0 0 1800 0 0 0 5.13806 0 0 0 
0 0 1810 0 0 0 5.14757 0 0 0 
0 0 1820 0 0 0 5.15694 0 0 0 
0 0 1830 0 0 0 5.16592 0 0 0 
0 0 1840 0 0 0 5.17459 0 0 0 
0 0 1850 0 0 0 5.18305 0 0 0 
0 0 1860 0 0 0 5.19106 0 0 0 
0 0 1870 0 0 0 5.19899 0 0 0 
0 0 1880 0 0 0 5.20634 0 0 0 
0 0 1890 0 0 0 5.21376 0 0 0 
0 0 1900 0 0 0 5.22049 0 0 0 
0 0 1910 0 0 0 5.22726 0 0 0 
0 0 1920 0 0 0 5.23351 0 0 0 
0 0 1930 0 0 0 5.23964 0 0 0 
0 0 1940 0 0 0 5.24544 0 0 0 
0 0 1950 0 0 0 5.25095 0 0 0 
0 0 1960 0 0 0 5.2563 0 0 0 
0 0 1970 0 0 0 5.26122 0 0 0 
0 0 1980 0 0 0 5.26611 0 0 0 
0 0 1990 0 0 0 5.27045 0 0 0 
0 0 2000 0 0 0 5.27488 0 0 0 
0 0 2010 0 0 0 5.27866 0 0 0 
0 0 2020 0 0 0 5.28249 0 0 0 
0 0 2030 0 0 0 5.28586 0 0 0 
0 0 2040 0 0 0 5.28909 0 0 0 
0 0 2050 0 0 0 5.29207 0 0 0 
0 0 2060 0 0 0 5.29473 0 0 0 
0 0 2070 0 0 0 5.29729 0 0 0 
0 0 2080 0 0 0 5.29941 0 0 0 
0 0 2090 0 0 0 5.30153 0 0 0 
0 0 2100 0 0 0 5.30311 0 0 0 
0 0 2110 0 0 0 5.3048 0 0 0 
0 0 2120 0 0 0 5.30586 0 0 0 
0 0 2130 0 0 0 5.30696 0 0 0 
0 0 2140 0 0 0 5.30764 0 0 0 
0 0 2150 0 0 0 5.30816 0 0 0 
0 0 2160 0 0 0 5.30846 0 0 0 
0 0 2170 0 0 0 5.30843 0 0 0 
0 0 2180 0 0 0 5.30833 0 0 0 
0 0 2190 0 0 0 5.30776 0 0 0 
0 0 2200 0 0 0 5.30723 0 0 0 
0 0 2210 0 0 0 5.30613 0 0 0 
0 0 2220 0 0 0 5.30516 0 0 0 
0 0 2230 0 0 0 5.30353 0 0 0 
0 0 2240 0 0 0 5.30196 0 0 0 
0 0 2250 0 0 0 5.29997 0 0 0 
0 0 2260 0 0 0 5.29779 0 0 0 
0 0 2270 0 0 0 5.29543 0 0 0 
0 0 2280 0 0 0 5.29268 0 0 0 
0 0 2290 0 0 0 5.2899 0 0 0 
0 0 2300 0 0 0 5.2866 0 0 0 
0 0 2310 0 0 0 5.28338 0 0 0 
0 0 2320 0 0 0 5.27952 0 0 0 
0 0 2330 0 0 0 5.27581 0 0 0 
0 0 2340 0 0 0 5.27142 0 0 0 
0 0 2350 0 0 0 5.26707 0 0 0 
0 0 2360 0 0 0 5.26229 0 0 0 
0 0 2370 0 0 0 5.25729 0 0 0 
0 0 2380 0 0 0 5.25213 0 0 0 
0 0 2390 0 0 0 5.24652 0 0 0 
0 0 2400 0 0 0 5.24091 0 0 0 
0 0 2410 0 0 0 5.23471 0 0 0 
0 0 2420 0 0 0 5.22862 0 0 0 
0 0 2430 0 0 0 5.22181 0 0 0 
0 0 2440 0 0 0 5.21518 0 0 0 
0 0 2450 0 0 0 5.20782 0 0 0 
0 0 2460 0 0 0 5.20049 0 0 0 
0 0 2470 0 0 0 5.19272 0 0 0 
0 0 2480 0 0 0 5.18466 0 0 0 
0 0 2490 0 0 0 5.1765 0 0 0 
0 0 2500 0 0 0 5.1678 0 0 0 
0 0 2510 0 0 0 5.15913 0 0 0 
0 0 2520 0 0 0 5.14979 0 0 0 
0 0 2530 0 0 0 5.14062 0 0 0 
0 0 2540 0 0 0 5.13063 0 0 0 
0 0 2550 0 0 0 5.12085 0 0 0 
0 0 2560 0 0 0 5.11029 0 0 0 
0 0 2570 0 0 0 5.09975 0 0 0 
0 0 2580 0 0 0 5.08878 0 0 0 
0 0 2590 0 0 0 5.07747 0 0 0 
0 0 2600 0 0 0 5.06608 0 0 0 
0 0 2610 0 0 0 5.0541 0 0 0 
0 0 2620 0 0 0 5.04219 0 0 0 
0 0 2630 0 0 0 5.02955 0 0 0 
0 0 2640 0 0 0 5.01711 0 0 0 
0 0 2650 0 0 0 5.00381 0 0 0 
0 0 2660 0 0 0 4.99072 0 0 0 
0 0 2670 0 0 0 4.97689 0 0 0 
0 0 2680 0 0 0 4.96304 0 0 0 
0 0 2690 0 0 0 4.94879 0 0 0 
0 0 2700 0 0 0 4.9342 0 0 0 
0 0 2710 0 0 0 4.91955 0 0 0 
0 0 2720 0 0 0 4.90432 0 0 0 
0 0 2730 0 0 0 4.88916 0 0 0 
0 0 2740 0 0 0 4.87333 0 0 0 
0 0 2750 0 0 0 4.85767 0 0 0 
0 0 2760 0 0 0 4.84124 0 0 0 
0 0 2770 0 0 0 4.82499 0 0 0 
0 0 2780 0 0 0 4.80811 0 0 0 
0 0 2790 0 0 0 4.79119 0 0 0 
0 0 2800 0 0 0 4.77397 0 0 0 
0 0 2810 0 0 0 4.75644 0 0 0 
0 0 2820 0 0 0 4.73887 0 0 0 
0 0 2830 0 0 0 4.72085 0 0 0 
0 0 2840 0 0 0 4.70287 0 0 0 
0 0 2850 0 0 0 4.68439 0 0 0 
0 0 2860 0 0 0 4.66603 0 0 0 
0 0 2870 0 0 0 4.64713 0 0 0 
0 0 2880 0 0 0 4.62834 0 0 0 
0 0 2890 0 0 0 4.60916 0 0 0 
0 0 2900 0 0 0 4.58993 0 0 0 
0 0 2910 0 0 0 4.57053 0 0 0 
0 0 2920 0 0 0 4.55096 0 0 0 
0 0 2930 0 0 0 4.53135 0 0 0 
0 0 2940 0 0 0 4.51151 0 0 0 
0 0 2950 0 0 0 4.49168 0 0 0 
0 0 2960 0 0 0 4.47164 0 0 0 
0 0 2970 0 0 0 4.45163 0 0 0 
0 0 2980 0 0 0 4.43144 0 0 0 
0 0 2990 0 0 0 4.41126 0 0 0 
0 0 3000 0 0 0 4.39101 0 0 0 
0 0 3010 0 0 0 4.37074 0 0 0 
0 0 3020 0 0 0 4.35044 0 0 0 
0 0 3030 0 0 0 4.33014 0 0 0 
0 0 3040 0 0 0 4.30981 0 0 0 
0 0 3050 0 0 0 4.28956 0 0 0 
0 0 3060 0 0 0 4.26924 0 0 0 
0 0 3070 0 0 0 4.24907 0 0 0 
0 0 3080 0 0 0 4.2288 0 0 0 
0 0 3090 0 0 0 4.20878 0 0 0 
0 0 3100 0 0 0 4.18867 0 0 0 
0 0 3110 0 0 0 4.16877 0 0 0 
0 0 3120 0 0 0 4.1489 0 0 0 
0 0 3130 0 0 0 4.12912 0 0 0 
0 0 3140 0 0 0 4.10954 0 0 0 
0 0 3150 0 0 0 4.0899 0 0 0 
0 0 3160 0 0 0 4.07061 0 0 0 
0 0 3170 0 0 0 4.05119 0 0 0 
0 0 3180 0 0 0 4.03223 0 0 0 
0 0 3190 0 0 0 4.01306 0 0 0 
0 0 3200 0 0 0 3.99446 0 0 0 
0 0 3210 0 0 0 3.97571 0 0 0 
0 0 3220 0 0 0 3.95735 0 0 0 
0 0 3230 0 0 0 3.93909 0 0 0 
0 0 3240 0 0 0 3.92095 0 0 0 
0 0 3250 0 0 0 3.90316 0 0 0 
0 0 3260 0 0 0 3.8853 0 0 0 
0 0 3270 0 0 0 3.86795 0 0 0 
0 0 3280 0 0 0 3.85043 0 0 0 
0 0 3290 0 0 0 3.83354 0 0 0 
0 0 3300 0 0 0 3.81637 0 0 0 
0 0 3310 0 0 0 3.79995 0 0 0 
0 0 3320 0 0 0 3.78335 0 0 0 
0 0 3330 0 0 0 3.76719 0 0 0 
0 0 3340 0 0 0 3.75119 0 0 0 
0 0 3350 0 0 0 3.73528 0 0 0 
0 0 3360 0 0 0 3.71981 0 0 0 
0 0 3370 0 0 0 3.70423 0 0 0 
0 0 3380 0 0 0 3.68922 0 0 0 
0 0 3390 0 0 0 3.67402 0 0 0 
0 0 3400 0 0 0 3.65949 0 0 0 
0 0 3410 0 0 0 3.64467 0 0 0 
0 0 3420 0 0 0 3.6306 0 0 0 
0 0 3430 0 0 0 3.61636 0 0 0 
0 0 3440 0 0 0 3.60253 0 0 0 
0 0 3450 0 0 0 3.58887 0 0 0 
0 0 3460 0 0 0 3.57528 0 0 0 
0 0 3470 0 0 0 3.56211 0 0 0 
0 0 3480 0 0 0 3.54882 0 0 0 
0 0 3490 0 0 0 3.53608 0 0 0 
0 0 3500 0 0 0 3.52313 0 0 0 
0 0 3510 0 0 0 3.5108 0 0 0 
0 0 3520 0 0 0 3.49821 0 0 0 
0 0 3530 0 0 0 3.48627 0 0 0 
0 0 3540 0 0 0 3.47419 0 0 0 
0 0 3550 0 0 0 3.46243 0 0 0 
0 0 3560 0 0 0 3.45085 0 0 0 
0 0 3570 0 0 0 3.43928 0 0 0 
0 0 3580 0 0 0 3.42809 0 0 0 
0 0 3590 0 0 0 3.41678 0 0 0 
0 0 3600 0 0 0 3.40593 0 0 0 
0 0 3610 0 0 0 3.39489 0 0 0 
0 0 3620 0 0 0 3.38437 0 0 0 
0 0 3630 0 0 0 3.37362 0 0 0 
0 0 3640 0 0 0 3.36338 0 0 0 
0 0 3650 0 0 0 3.35304 0 0 0 
0 0 3660 0 0 0 3.34292 0 0 0 
0 0 3670 0 0 0 3.33297 0 0 0 
0 0 3680 0 0 0 3.32297 0 0 0 
0 0 3690 0 0 0 3.3133 0 0 0 
0 0 3700 0 0 0 3.3035 0 0 0 
0 0 3710 0 0 0 3.29407 0 0 0 
0 0 3720 0 0 0 3.28446 0 0 0 
0 0 3730 0 0 0 3.27526 0 0 0 
0 0 3740 0 0 0 3.26587 0 0 0 
0 0 3750 0 0 0 3.25684 0 0 0 
0 0 3760 0 0 0 3.24774 0 0 0 
0 0 3770 0 0 0 3.23877 0 0 0 
0 0 3780 0 0 0 3.22995 0 0 0 
0 0 3790 0 0 0 3.22104 0 0 0 
0 0 3800 0 0 0 3.21239 0 0 0 
0 0 3810 0 0 0 3.2036 0 0 0 
0 0 3820 0 0 0 3.19509 0 0 0 
0 0 3830 0 0 0 3.18642 0 0 0 
0 0 3840 0 0 0 3.17804 0 0 0 
0 0 3850 0 0 0 3.1695 0 0 0 
0 0 3860 0 0 0 3.16121 0 0 0 
0 0 3870 0 0 0 3.15286 0 0 0 
0 0 3880 0 0 0 3.14455 0 0 0 
0 0 3890 0 0 0 3.13638 0 0 0 
0 0 3900 0 0 0 3.12806 0 0 0 
0 0 3910 0 0 0 3.11995 0 0 0 
0 0 3920 0 0 0 3.11168 0 0 0 
0 0 3930 0 0 0 3.10363 0 0 0 
0 0 3940 0 0 0 3.0954 0 0 0 
0 0 3950 0 0 0 3.08738 0 0 0 
0 0 3960 0 0 0 3.07921 0 0 0 
0 0 3970 0 0 0 3.07118 0 0 0 
0 0 3980 0 0 0 3.06311 0 0 0 
0 0 3990 0 0 0 3.055 0 0 0 
0 0 4000 0 0 0 3.04699 0 0 0 
0 0 4010 0 0 0 3.0388 0 0 0 
0 0 4020 0 0 0 3.03077 0 0 0 
0 0 4030 0 0 0 3.02255 0 0 0 
0 0 4040 0 0 0 3.01449 0 0 0 
0 0 4050 0 0 0 3.00624 0 0 0 
0 0 4060 0 0 0 2.99812 0 0 0 
0 0 4070 0 0 0 2.98985 0 0 0 
0 0 4080 0 0 0 2.98163 0 0 0 
0 0 4090 0 0 0 2.97336 0 0 0 
0 0 4100 0 0 0 2.96499 0 0 0 
0 0 4110 0 0 0 2.95669 0 0 0 
0 0 4120 0 0 0 2.94816 0 0 0 
0 0 4130 0 0 0 2.93976 0 0 0 
0 0 4140 0 0 0 2.93113 0 0 0 
0 0 4150 0 0 0 2.92259 0 0 0 
0 0 4160 0 0 0 2.91385 0 0 0 
0 0 4170 0 0 0 2.90516 0 0 0 
0 0 4180 0 0 0 2.89633 0 0 0 
0 0 4190 0 0 0 2.88745 0 0 0 
0 0 4200 0 0 0 2.87852 0 0 0 
0 0 4210 0 0 0 2.8694 0 0 0 
0 0 4220 0 0 0 2.86036 0 0 0 
0 0 4230 0 0 0 2.85101 0 0 0 
0 0 4240 0 0 0 2.84175 0 0 0 
0 0 4250 0 0 0 2.83222 0 0 0 
0 0 4260 0 0 0 2.82274 0 0 0 
0 0 4270 0 0 0 2.81302 0 0 0 
0 0 4280 0 0 0 2.80328 0 0 0 
0 0 4290 0 0 0 2.79339 0 0 0 
0 0 4300 0 0 0 2.78336 0 0 0 
0 0 4310 0 0 0 2.77328 0 0 0 
0 0 4320 0 0 0 2.76293 0 0 0 
0 0 4330 0 0 0 2.75263 0 0 0 
0 0 4340 0 0 0 2.74196 0 0 0 
0 0 4350 0 0 0 2.73135 0 0 0 
0 0 4360 0 0 0 2.72042 0 0 0 
0 0 4370 0 0 0 2.70948 0 0 0 
0 0 4380 0 0 0 2.69828 0 0 0 
0 0 4390 0 0 0 2.68698 0 0 0 
0 0 4400 0 0 0 2.67552 0 0 0 
0 0 4410 0 0 0 2.66383 0 0 0 
0 0 4420 0 0 0 2.6521 0 0 0 
0 0 4430 0 0 0 2.63999 0 0 0 
0 0 4440 0 0 0 2.62793 0 0 0 
0 0 4450 0 0 0 2.61543 0 0 0 
0 0 4460 0 0 0 2.60296 0 0 0 
0 0 4470 0 0 0 2.59011 0 0 0 
0 0 4480 0 0 0 2.57721 0 0 0 
0 0 4490 0 0 0 2.56402 0 0 0 
0 0 4500 0 0 0 2.55067 0 0 0 
0 0 4510 0 0 0 2.53713 0 0 0 
0 0 4520 0 0 0 2.5233 0 0 0 
0 0 4530 0 0 0 2.50942 0 0 0 
0 0 4540 0 0 0 2.49508 0 0 0 
0 0 4550 0 0 0 2.48078 0 0 0 
0 0 4560 0 0 0 2.46598 0 0 0 
0 0 4570 0 0 0 2.45119 0 0 0 
0 0 4580 0 0 0 2.436 0 0 0 
0 0 4590 0 0 0 2.4207 0 0 0 
0 0 4600 0 0 0 2.40509 0 0 0 
0 0 4610 0 0 0 2.38928 0 0 0 
0 0 4620 0 0 0 2.37328 0 0 0 
0 0 4630 0 0 0 2.35693 0 0 0 
0 0 4640 0 0 0 2.34054 0 0 0 
0 0 4650 0 0 0 2.32365 0 0 0 
0 0 4660 0 0 0 2.30679 0 0 0 
0 0 4670 0 0 0 2.28942 0 0 0 
0 0 4680 0 0 0 2.27204 0 0 0 
0 0 4690 0 0 0 2.25425 0 0 0 
0 0 4700 0 0 0 2.23635 0 0 0 
0 0 4710 0 0 0 2.21816 0 0 0 
0 0 4720 0 0 0 2.19974 0 0 0 
0 0 4730 0 0 0 2.18116 0 0 0 
0 0 4740 0 0 0 2.16223 0 0 0 
0 0 4750 0 0 0 2.14326 0 0 0 
0 0 4760 0 0 0 2.12384 0 0 0 
0 0 4770 0 0 0 2.10444 0 0 0 
0 0 4780 0 0 0 2.0846 0 0 0 
0 0 4790 0 0 0 2.06474 0 0 0 
0 0 4800 0 0 0 2.04455 0 0 0 
0 0 4810 0 0 0 2.02426 0 0 0 
0 0 4820 0 0 0 2.00374 0 0 0 
0 0 4830 0 0 0 1.98304 0 0 0 
0 0 4840 0 0 0 1.96223 0 0 0 
0 0 4850 0 0 0 1.94115 0 0 0 
0 0 4860 0 0 0 1.92007 0 0 0 
0 0 4870 0 0 0 1.89866 0 0 0 
0 0 4880 0 0 0 1.87727 0 0 0 
0 0 4890 0 0 0 1.85562 0 0 0 
0 0 4900 0 0 0 1.83395 0 0 0 
0 0 4910 0 0 0 1.81211 0 0 0 
0 0 4920 0 0 0 1.79022 0 0 0 
0 0 4930 0 0 0 1.76822 0 0 0 
0 0 4940 0 0 0 1.74616 0 0 0 
0 0 4950 0 0 0 1.72404 0 0 0 
0 0 4960 0 0 0 1.70185 0 0 0 
0 0 4970 0 0 0 1.67965 0 0 0 
0 0 4980 0 0 0 1.65738 0 0 0 
0 0 4990 0 0 0 1.63513 0 0 0 
0 0 5000 0 0 0 1.61286 0 0 0 
0 0 5010 0 0 0 1.59061 0 0 0 
0 0 5020 0 0 0 1.56837 0 0 0 
0 0 5030 0 0 0 1.54618 0 0 0 
0 0 5040 0 0 0 1.52401 0 0 0 
0 0 5050 0 0 0 1.50193 0 0 0 
0 0 5060 0 0 0 1.47988 0 0 0 
0 0 5070 0 0 0 1.45796 0 0 0 
0 0 5080 0 0 0 1.43606 0 0 0 
0 0 5090 0 0 0 1.41436 0 0 0 
0 0 5100 0 0 0 1.39268 0 0 0 
